title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
Data Engineer,Data Engineer,Millennial Hire,"Bengaluru, Karnataka","2+ years in big data engineering and Microsoft Azure.
Experience in supporting BI and Data Science teams in consuming the data in a secure and governed manner.",EmployerActive 7 days ago,"₹8,13,424 - ₹30,00,000 a year",2023-03-15,/company/Millennial-Hire/jobs/Data-Engineer-94f09c075590c0bb?fccid=e1f8f5fa70f720ff&vjs=3
Junior Data Scientist - Artificial Intelligence Innovation,Data Engineer,Accenture,"Bengaluru, Karnataka","Designation: Management Level - Senior Analyst.
Years of Experience: 5 to 8 years.
You will be required to utilize the existing frameworks, standards, patterns…",PostedPosted 12 days ago,?,2023-03-15,/rc/clk?jk=0acccdc034d95aa7&fccid=a4e4e2eaf26690c9&vjs=3
Integration Engineer,Data Engineer,Uber,"Hyderabad, Telangana+1 location",The Integrations Engineer will work in partnership with cross-functional teams to define requirements and ensure the seamless transfer of data within our…,PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0AVIi8UxprrPGU7QPohOxOOpynq0pcPnEidcD-eE3H2SscmD_E2BRcx7-dx3BBatDlEuJwH3eeDUJcjNkN5TgxQEm-1MMO3bMRUWmWTpwm9-QazF67L_CwaW-t9CBnSRemI-qds0-vDmmZlV4sL4Ep9IF4sUetJM1erV8aN9Z7dK02iRnUrqTGrze3qGfVT0eRIQY5LJ0Oci6Zhz_tfE91ulDytA74JGq0ubwHarLQ6QkjPWPaX140WaWz9XiZ33kYb-Z61SjKgQcbNHPjofpVdMgQQhb5aEblHqbXgdqziqgYYRWwGdKsBQaLWtW9Tks0s9yVeFaHvWC6yt9ywOxTyqULHDg5lFjjhLos9SGnM8wVBVAggq_ReFKi-dx8Zh2_vKGsmTo36FAIYuMQQtUToGADVvafBoWLMiwS-K3WImA72fpH5C5pbCOWw8widHV6y0tgvyxjfQmJi6ZfwTsb283V93kygfKwclwGMm1Djq3sEjiC9jE76nYla2mHeFYjJuyHPA-_d9h6p_WiHCywXgInqd4klqs_xd6pTEQ9XaE3pIaqGMv_K2Z_bOfAGF8ErCBckGwxmc_DYjRjltXgFWoBSq0nrNFOgC7fUydQqYYk4cGNaUB_FhquswpljfqDXxyfHrVwZMs3mHcoCM1kNmKTz3xF18GeOlvuSFxubC_i7VB8myS8k8rplUJtfgyMRix4em6tlZBmotcAJBIOTHdM1Wo7WfOv0qzC_k8KP40XSZfwgtvAYPIdyzFHOBg9eoEDC-tNOw4MPBXzyUX4cr8Eg7BGSx5Xw3Hs5sLFwHnIDDalHUgMVc_GICTTZKCmmWLDdnL0tZwa421Br_zqUqsWmqS6x0knthsa0ylCJF4aUl3ZpkMXGM0ARs124zkjVPL_dxqN3fsW5_ttC2Lq-PU_8EhbsXTHfRD_L0W5ab-Cx6yfUsxsoDfD3yG61SPpRVp-VWFX3I-y7XLsk3J9xN8Y_RDHcJ1u4epIwEJDUhjFL90rtCHrTFMuZNxdavk9HUnV5n4SaGNmAfDstXE_x9gQLT1h_bhsMSfB7jExIPOZazFQuNSh8vD_XEaX9Ty38ZG-CBoqjMrk9CfwhgcZd994A3PtLC9P5CM8O2RJ11vlYM7BT5zS6aPBdzIVKORjxZn7Y4-7P-graXwyfVTeD-_fRVnjSLPkS5jMJ5dflAg==&xkcb=SoDF-_M3SyqgtLR9HJ0PbzkdCdPP&p=11&fvj=0&vjs=3
Data Engineer,Data Engineer,8andH Engineering Services,Remote,"Work closely with stakeholders to develop scalable and performant solutions for their data requirements, including extraction, transformation, and loading of…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=57d96151378284ff&fccid=c205b5825d7d5e2e&vjs=3
Data Engineer,Data Engineer,IBM,"Gurgaon, Haryana+1 location","Ability to lead Data transformation project with multiple junior data engineers.
Demonstrate understanding in data architectures, modern data platforms, big…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=a2b11337b7b18e38&fccid=de71a49b535e21cb&vjs=3
Big Data Engineer,Data Engineer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","The development or the customer cars then collect various vehicle, sensor and environment data.
This data is further analysed and the performance of the ADAS…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=88b17ba0b1abe9b2&fccid=9ab138c02aaca829&vjs=3
Big data Engineer,Data Engineer,Hexaware,"Mumbai, Maharashtra","Should have very good data analysis skill.
Willingness to upskill themselves in modern data technologies like Data Engineering.
Overall IT experience 4+ years.",EmployerActive 4 days ago,"₹10,00,000 - ₹20,00,000 a year",2023-03-15,/company/Medico-recruits/jobs/Big-Data-Engineer-df8b9c5b9428e2f1?fccid=c72e2d7f5f426f9e&vjs=3
BI Engineer - Data Engineer,Data Engineer,Versatile Staffing Solutions,Remote,"Collaborating with multiple business units, learning their data needs, and creating database ETL and data aggregation designs accordingly;",PostedPosted 30+ days ago,?,2023-03-15,/company/Versatile-Staffing-Solutions/jobs/Bi-Engineer-9132844c203c4052?fccid=36aa919101d9d696&vjs=3
Graduate Engineer Trainee (Hardware Testing),Data Engineer,BOTSYNC PTE. LTD.,"Bengaluru, Karnataka","Analyse test data with module/product leads to improve the performance of the products.
Design test plans and test cases to validate new products and improve…",EmployerActive 2 days ago,"₹3,00,000 - ₹4,00,000 a year",2023-03-15,/company/BOTSYNC-PTE.-LTD./jobs/Graduate-Engineer-Trainee-e2d210f776cecfb5?fccid=0ab12e9ae0520469&vjs=3
Data Engineer,Data Engineer,WARPE TRAINING AND COUNSULTING,"Chennai, Tamil Nadu",*Responsible for expanding and optimizing data and data pipeline architecture as well as optimizing data flow and collection for cross functional utilization.*.,PostedPosted 12 days ago,"₹9,00,632 - ₹22,29,561 a year",2023-03-15,/company/WARPE-Academy/jobs/Data-Engineer-4277a9bccdac149f?fccid=c5ac32afcebdf0b5&vjs=3
Data Engineer (India Remote),Data Engineer,Token Metrics,"Remote in Mumbai, Maharashtra+3 locations","Implementing proper data validation and data reconciliation methodologies.
Building a data pipeline from different data sources using different data types like…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=62a2187e7cd71ba9&fccid=bdb6ed382ffe4a54&vjs=3
Data Engineer,Data Engineer,NatWest Group,"Chennai, Tamil Nadu+2 locations","You’ll be carrying out data engineering tasks to build, maintain, test and optimise a scalable data architecture, as well as carrying out data extractions,…",PostedPosted 12 days ago,?,2023-03-15,/rc/clk?jk=de71ce0fc693d515&fccid=4a3a2b1eb3ec0691&vjs=3
Data Scientist (India Remote),Data Engineer,Token Metrics,"Remote in Bengaluru, Karnataka+1 location","Master’s degree in computational linguistics, data science, data analytics, or similar will be advantageous.
Developing ML algorithms to analyze huge volumes of…",PostedPosted 25 days ago,?,2023-03-15,/rc/clk?jk=8099c00f755726f3&fccid=bdb6ed382ffe4a54&vjs=3
Data Engineer (Hadoop),Data Engineer,FirstConnect Solutions Pvt Ltd,"Bengaluru, Karnataka","Strong hands-on experience on Spark (Scala/Python) a. SparkSQL, Dataframes, User Defined Functions b. Working with different file formats Parquet, CSV, JSON,…",PostedPosted 30+ days ago,"From ₹15,00,000 a year",2023-03-15,/company/FirstConnect-Solutions-Pvt-Ltd/jobs/Data-Engineer-f07da7c30bb18ece?fccid=3767c05ad123d59e&vjs=3
SnowFlake Data Engineer,Data Engineer,Pyramid Global Technologies,"Mohali, Punjab","Experience in data modeling - logical and physical.
Design and Implement cloud data platform and cloud related architectures.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=54c294f5e78cd8ec&fccid=00d4d1f9ab402961&vjs=3
Data Engineer (Data Analytics),Data Engineer,Mantras2Success consultants,"Hyderabad, Telangana","Combine raw data from multiple data sources.
Create and maintain data pipelines.
Collaborate with analysts to create and maintain data marts.",PostedPosted 30+ days ago,"₹15,00,000 - ₹18,00,000 a year",2023-03-15,/rc/clk?jk=0bcdfe3bc59dfd74&fccid=ceef42c635638fb6&vjs=3
Integration Engineer,Data Engineer,Uber,"Hyderabad, Telangana+1 location",The Integrations Engineer will work in partnership with cross-functional teams to define requirements and ensure the seamless transfer of data within our…,PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0AVIi8UxprrPGU7QPohOxOOpynq0pcPnEidcD-eE3H2SscmD_E2BRcx7-dx3BBatDlEuJwH3eeDUJcjNkN5TgxQEm-1MMO3bMRUWmWTpwm9-QazF67L_CwaW-t9CBnSRemI-qds0-vDmmZlV4sL4Ep9IF4sUetJM1erV8aN9Z7dK_62qxZr6vJgKB_hLDdoa3QLVFK6YcpbEmvgtsTlxiQfnC5h4zB4QeiEpg8qD_IFN2-6Tf57epjMre6_EYLXxL8jazryYHs7t60DBOKlO2pPEjlg_L0e3JozY3DRpjpz6IAXlS4pkjZDW71KgsuRqYLpSv_uTcRpOxy3guY5Cu7mwUBG8pnimESmVT84iW9oWE-B7RMABbADWLiFn19OsHtB7LU1kgZNsKBPdgSbhQbkqfrWLSckhsOSJAjBWPEzcoVDIAvSIvlL5j7YWtYmqUgxNEgVEmtwjb1JBcwySxiBUrJ4si8W-uJyIIOwgYE-RjrhdJgmlo9ZdGE--1lp72hD9wZXrWtJ7JdsrOqWA2xkDnAu7dApc7orTc7l2UIHNbYvAzFJr1dj8X2EQ1sNA4QvXmG7VyBMkg6aXZKPtvwbCzGd6dxHrsECbtXHypyPZoZYG_9cKw49_zO9SkJVmhqoCkVzhMWK7-r2bYXOtWt1dymH8cplDdsQBW8eGPFW-rgeeKvhujiG7cbyYsZJS1NTmd0xTRklMjX6uxnT2xcKLR8RB-7Mh4vaUhZHPHm96MP-mwqKU5HTJGmME1w7F-ksYs1VMS0FTvoWXf2P7KnOhIvhxuGLlNx5rhJqTI_8KKWAnK-BUUSFa_o1Tt7j4S19yomqSCKD8Jb-uf84AxU2ciIQUfMKTGHOl0cprMsw7SlBz4h0Txw7203ROUqMSnoZxUIbuB_RrtkT7oBUMwG8uFUWMip8S1kwRUX5Do1CmBa9w0f9pnUXSM65n6ecEak_9DrEiGvfeLT00xw5VWBlT0yqVTQbpScmWPx9gnq2W3ay1xnubxpL4aoEBdWXKSuOD6sjdMsoQD4XNwqgE3zuSiF0S2Z-AdV9DShqvZcVDjYWT1H_huTDBt8PK8vfmS_W7vyBvjCVlWBuyyYJxMYaNV2tFxjq6Um0ZpqMup2jbFEM4uVNR4L6_rM4XyLB_YrTdpqDdDa259bH4ZBUz2twZFvSMCVZyjUJpsxPKiasfw==&xkcb=SoBl-_M3Syq_2jAGrD0JbzkdCdPP&p=12&fvj=0&vjs=3
Remote Engineer,Data Engineer,NTT Ltd.,"Remote in Bengaluru, Karnataka","Coordinates diagnoses and troubleshoots incoming employee calls.
Provides support services to employees with technical problems and information technology…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=b527ae66ff6b0a37&fccid=906e0ed766138448&vjs=3
Associate Professional Test Engineer,Data Engineer,DXC Technology,"Hyderabad, Telangana","Experience working with data transmission protocols such as TCP/IP, etc.
May assist lead engineer/management in writing proposals to recommend process/program…",PostedPosted 8 days ago,?,2023-03-15,/rc/clk?jk=f199f38d1474ec94&fccid=feaabf8e6a699d3c&vjs=3
Data Engineer,Data Engineer,StoneX Group,"Bengaluru, Karnataka","Add to our existing business and data models.
Knowledge in Distributed application, data and infrastructure architecture disciplines.",PostedPosted 12 days ago,?,2023-03-15,/rc/clk?jk=9f12d40d37616811&fccid=95d5989e745a95bc&vjs=3
Data Visualization Engineer,Data Engineer,Ataloud Technologies,Remote,"Familiarity with JSON and similar data formats.
We, at Ataloud are looking for a Data Visualization engineer who can design and develop visualization tools and…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=931219289181a926&fccid=4ae66d1f015c5361&vjs=3
Data Engineer - Azure,Data Engineer,Fractal Analytics,"Bengaluru, Karnataka","Good understanding of how to enable analytics using cloud technology and ML Ops.
Experience in Azure Infrastructure and Azure Dev Ops will be a strong plus.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=16bfe0cba5ffecad&fccid=82a5852c691fe3de&vjs=3
Software Engineer - Frontend,Data Engineer,Kisi,Remote,With our seamless access experience and real-time data and analytics we help make spaces available to the right people at any time.,PostedPosted 27 days ago,?,2023-03-15,/rc/clk?jk=a221bd99b3c0365d&fccid=e45624b9b1091317&vjs=3
Azure Data Engineer,Data Engineer,KPI Partners,India,Strong on SQL Nice to have ADF…,PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=767463f58fface5d&fccid=f1dd3a167ea944b8&vjs=3
Data Engineer II (SQL Developer),Data Engineer,Nissan,"Thiruvananthapuram, Kerala",Participate in community of practice with other engineers to help drive the technical roadmap of the organization.,PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=68035fe846f89e37&fccid=154ba50a8fca4d5c&vjs=3
Big Data Engineer,Data Engineer,Ellicium,"Pune, Maharashtra","Businesses need to make better and faster decisions by analyzing data to stay competitive and future-ready.
Businesses need to make better and faster decisions…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=a2f04c2bebcb31b4&fccid=5d91cffe85c9b371&vjs=3
GCP Data Engineer,Data Engineer,Wipro Limited,"Chennai, Tamil Nadu","Providing sales data, proposals, data insights and accountreviews to the client base.
Gather information from various sources (data warehouses,database, data…",PostedPosted 19 days ago,?,2023-03-15,/rc/clk?jk=eb847f6dc9f29ed5&fccid=8d25321c1defe73f&vjs=3
Senior Data Engineer,Data Engineer,LTIMindtree,India,Libraries : • Pandas • Numpy • Scikit learn • Keras • Scipy Visualizations: • Seaborn • Matplotlib • Plotly ML Techniques : • Exploratory data analysis (EDA) •…,PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=fc95686158b7f421&fccid=42bfc5a97647daf5&vjs=3
Integration Engineer,Data Engineer,Uber,"Hyderabad, Telangana+1 location",The Integrations Engineer will work in partnership with cross-functional teams to define requirements and ensure the seamless transfer of data within our…,PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0AVIi8UxprrPGU7QPohOxOOpynq0pcPnEidcD-eE3H2SscmD_E2BRcx7-dx3BBatDlEuJwH3eeDUJcjNkN5TgxQEm-1MMO3bMRUWmWTpwm9-QazF67L_CwaW-t9CBnSRemI-qds0-vDmmZlV4sL4Ep9IF4sUetJM1erV8aN9Z7dK4XzB_Wv2UFFUcIDC1-Ixtn3o5toZYWwYkpgsODK0QdiuTfDDQ9qoDq7txKjIRwR0xhiRd99tXUKf384K_-ZysDNmBWpQ2fP_WTD5fEFZuiwPPsC9cY8t4DboZD9pRmmc9BgBj4Zp5y4Jt0wo8HmiF6xuLGchTcbjSr5XHFcAkyUCpSDZpM57XSvDON1XZv8Td_WvcEhH_9FtyI4-U5SVpAkbzGaWlvh8iJv3Me6P0zWQeFfwqnESUFrgcdZxA4T5OJEpU28d5M6_NQEGDCWJbk1-67Epvh0GratH2iYflbZ7wy_kY8dj7_82lSFVnEqR609KRqKdW9lR16l067gLz_vIyj-gSGU-Q4T2D2uZUmGy00PXT45M7wr6K9O6YhosiYaXT2Xdgnme4tY-c52vgm6L9ENx5204wF77VY5nfvgbb25H4XYvAA1BkeMarudF_kJNQ4FCYc46hbci1lOUQmlnhqgLV0NnKYwKI5TGGCPvlYVCnqhvzzN84TFvlB67Rb3vfyP8DMmxQFCGh7kVlp7DS0PF95QLtakZXlUSqbaYQfTukPWMZHnK_gFkIpOHkRWwCjOPKJJYcp21YbQVg58HRXeG-I1I5i_l94nOWa18USAbthcfwFj0ovKfZY6FMz_oCFxt7JKMuIF-0O9wRwYzq2m1c6cbBT_77e1VF99yT2vwA8cPHr0uK-mjLPh9AYyHmbq8PMPv4n3Gs-M-MvLInVUqy7tYny9lVo3XDpBwthjfr46LjeGzJO5X84aHmffSLwxeW1iCXSkg9d0B3omgRYy3eaA-Zd46-vTPi3Yj-ogHPMq9EV0jo-sWXOJxM1h3r-FxV-Z7fvWQJKtt153udN3I5s8VVm_GFNclIgCXikNZTCnSnIGW9v6NFz-WGwNF_KqDGJuRbVFEQGhf4QGuY0Rrwj5UBlHhX_dU_cWp8XAruEFi9vROzu8YL7M6Md8MSxM8H_z-RQazTeTkwEARgat2CvXiegQXaj9rLQpeha0jiVCsz_AqnVZYQohJw==&xkcb=SoAW-_M3Syq_SagGrD0ObzkdCdPP&p=14&fvj=0&vjs=3
AWS Data Engineer,Data Engineer,Veegasree,"Chennai, Tamil Nadu","Must be experienced in building data pipelines using Python and AWS Glue.
AWS Data Engineer - Redshift/Python*.
Proven experience as a Data Engineer.",PostedPosted 22 days ago,"Up to ₹50,000 a month",2023-03-15,/company/veegasree/jobs/Aws-Data-Engineer-02de08c75a4789f2?fccid=52d45b182f76295e&vjs=3
Data Engineer,Data Engineer,Insider Biz,"New Delhi, Delhi",As a Data Engineer you would gather data from thousands of sources (Chaos) to present an intuitive 360 degree view (Order) of any entity in India.,PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=67d5962249fc5731&fccid=2190682bb1bb1726&vjs=3
Data Engineer – R01520362,Data Engineer,Brillio,"Bengaluru, Karnataka","Born digital in 2014, we apply Customer Experience Solutions, Data Analytics and AI, Digital Infrastructure and Security, and Platform and Product Engineering…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=0ec53baed4d0abc0&fccid=a2520645450d003a&vjs=3
Manager_ Data Engineer_ Technology,Data Engineer,Morgan Stanley,"Bengaluru, Karnataka","Handle requirements from users and enrich the data to suit the business needs.
The candidate will start with hands on data engineering work with databases, but…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=580d51465908e853&fccid=0c39fb2c91742dcf&vjs=3
Cloud Operations Engineer,Data Engineer,Redwood Software Inc.,Remote,"Redwood will comply with all local data protection laws, including GDPR when it comes to the handling and processing of personal data.",PostedPosted 14 days ago,?,2023-03-15,/rc/clk?jk=7a5622db392d758c&fccid=763898ffb2d3f3b6&vjs=3
Senior Engineer - Data analytics,Data Engineer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Identify data sources, perform EDA , data cleaning and transformations for ML / DL models.
Experience in deploying predictive or prescriptive data science…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=4c3d671d4842c4de&fccid=9ab138c02aaca829&vjs=3
Data Engineer,Data Engineer,Current Job Openings at Revionics,"Bengaluru, Karnataka","4+ years of experience in a data related role - data engineering, data analytics.
Some experience in data integration / data engineering - building and…",PostedPosted 14 days ago,?,2023-03-15,/rc/clk?jk=1805c6426fdf4161&fccid=55059642b2b851db&vjs=3
Big Data Engineer Inter India,Data Engineer,Veridic Solutions,India,"Flair for data, schema, data model, how to bring efficiency in big data related life cycle.
Experience in designing and implementing data pipelines.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=1865d8dc8210c0fe&fccid=2e5262cf6ed0d140&vjs=3
SQL Database Engineer,Data Engineer,ARA Resources,"Bengaluru, Karnataka","Contributes significantly to architectural decisions around our data.
Experience performing root cause analysis on internal and external data and processes to…",PostedPosted 21 days ago,"₹22,00,000 - ₹30,00,000 a year",2023-03-15,/rc/clk?jk=b0dd024a1aa2f380&fccid=286b545ccbbfd458&vjs=3
ML Engineer,Data Engineer,TerraEagle,"Bengaluru, Karnataka","Extensive knowledge of ML frameworks, libraries, data structures, data modeling,.
Transforming data science prototypes and applying appropriate ML algorithms…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=e597516ff3e21176&fccid=5fb1097b9a4c81b3&vjs=3
